W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] 
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] *****************************************
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_142436-yrj2vzdz
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=32
  block_loop_count=1
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 1 steps
Training for 16 epoch(s) (~3040 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.03%) | loss: 10.826533 | dt: 15139.69ms | tok/sec: 34,630 | bf16_mfu: 0.77%
step 00002 (0.07%) | loss: 10.747878 | dt: 498.64ms | tok/sec: 1,051,433 | bf16_mfu: 23.34%
step 00003 (0.10%) | loss: 10.606686 | dt: 269.85ms | tok/sec: 1,942,915 | bf16_mfu: 43.13%
step 00143 (4.70%) | loss: 4.748868 | dt: 284.66ms | tok/sec: 1,841,829 | bf16_mfu: 40.88% | eta: 13.6m
step 00144 (4.74%) | loss: 4.737079 | dt: 283.14ms | tok/sec: 1,851,692 | bf16_mfu: 41.10% | eta: 13.6m
step 00145 (4.77%) | loss: 4.744708 | dt: 281.19ms | tok/sec: 1,864,534 | bf16_mfu: 41.39% | eta: 13.6m
step 00146 (4.80%) | loss: 4.742650 | dt: 282.08ms | tok/sec: 1,858,620 | bf16_mfu: 41.26% | eta: 13.6m
step 00147 (4.84%) | loss: 4.737187 | dt: 284.74ms | tok/sec: 1,841,307 | bf16_mfu: 40.87% | eta: 13.6m
step 00148 (4.87%) | loss: 4.726045 | dt: 281.42ms | tok/sec: 1,862,977 | bf16_mfu: 41.35% | eta: 13.6m
step 00149 (4.90%) | loss: 4.712672 | dt: 281.25ms | tok/sec: 1,864,143 | bf16_mfu: 41.38% | eta: 13.6m
step 00150 (4.93%) | loss: 4.705044 | dt: 283.00ms | tok/sec: 1,852,614 | bf16_mfu: 41.12% | eta: 13.6m
step 00151 (4.97%) | loss: 4.699039 | dt: 284.07ms | tok/sec: 1,845,649 | bf16_mfu: 40.97% | eta: 13.6m
step 00152 (5.00%) | loss: 4.698724 | dt: 280.81ms | tok/sec: 1,867,080 | bf16_mfu: 41.44% | eta: 13.6m
step 00153 (5.03%) | loss: 4.683891 | dt: 282.18ms | tok/sec: 1,857,983 | bf16_mfu: 41.24% | eta: 13.5m
step 00154 (5.07%) | loss: 4.681550 | dt: 283.94ms | tok/sec: 1,846,460 | bf16_mfu: 40.99% | eta: 13.5m
step 00155 (5.10%) | loss: 4.670655 | dt: 281.70ms | tok/sec: 1,861,180 | bf16_mfu: 41.31% | eta: 13.5m
step 00156 (5.13%) | loss: 4.665363 | dt: 281.57ms | tok/sec: 1,862,019 | bf16_mfu: 41.33% | eta: 13.5m
step 00157 (5.16%) | loss: 4.657330 | dt: 284.34ms | tok/sec: 1,843,859 | bf16_mfu: 40.93% | eta: 13.5m
step 00158 (5.20%) | loss: 4.646645 | dt: 282.25ms | tok/sec: 1,857,559 | bf16_mfu: 41.23% | eta: 13.5m
step 00159 (5.23%) | loss: 4.634451 | dt: 281.33ms | tok/sec: 1,863,610 | bf16_mfu: 41.37% | eta: 13.5m
step 00160 (5.26%) | loss: 4.628273 | dt: 282.03ms | tok/sec: 1,858,992 | bf16_mfu: 41.26% | eta: 13.5m
step 00161 (5.30%) | loss: 4.616957 | dt: 286.71ms | tok/sec: 1,828,628 | bf16_mfu: 40.59% | eta: 13.5m
step 00162 (5.33%) | loss: 4.618372 | dt: 282.70ms | tok/sec: 1,854,579 | bf16_mfu: 41.17% | eta: 13.5m
step 00163 (5.36%) | loss: 4.613497 | dt: 281.33ms | tok/sec: 1,863,602 | bf16_mfu: 41.37% | eta: 13.5m
step 00164 (5.39%) | loss: 4.608251 | dt: 281.93ms | tok/sec: 1,859,648 | bf16_mfu: 41.28% | eta: 13.5m
step 00165 (5.43%) | loss: 4.605650 | dt: 283.66ms | tok/sec: 1,848,310 | bf16_mfu: 41.03% | eta: 13.5m
step 00166 (5.46%) | loss: 4.596741 | dt: 283.11ms | tok/sec: 1,851,902 | bf16_mfu: 41.11% | eta: 13.5m
step 00167 (5.49%) | loss: 4.593595 | dt: 281.11ms | tok/sec: 1,865,069 | bf16_mfu: 41.40% | eta: 13.5m
step 00168 (5.53%) | loss: 4.588776 | dt: 283.10ms | tok/sec: 1,851,949 | bf16_mfu: 41.11% | eta: 13.5m
step 00169 (5.56%) | loss: 4.585005 | dt: 281.18ms | tok/sec: 1,864,591 | bf16_mfu: 41.39% | eta: 13.5m
step 00170 (5.59%) | loss: 4.583688 | dt: 284.07ms | tok/sec: 1,845,660 | bf16_mfu: 40.97% | eta: 13.5m
step 00171 (5.62%) | loss: 4.567608 | dt: 285.01ms | tok/sec: 1,839,517 | bf16_mfu: 40.83% | eta: 13.5m
step 00172 (5.66%) | loss: 4.565443 | dt: 286.22ms | tok/sec: 1,831,774 | bf16_mfu: 40.66% | eta: 13.5m
step 00173 (5.69%) | loss: 4.557017 | dt: 282.72ms | tok/sec: 1,854,435 | bf16_mfu: 41.16% | eta: 13.5m
step 00174 (5.72%) | loss: 4.552852 | dt: 283.23ms | tok/sec: 1,851,088 | bf16_mfu: 41.09% | eta: 13.5m
step 00175 (5.76%) | loss: 4.547409 | dt: 282.18ms | tok/sec: 1,858,019 | bf16_mfu: 41.24% | eta: 13.5m
step 00176 (5.79%) | loss: 4.542078 | dt: 285.17ms | tok/sec: 1,838,526 | bf16_mfu: 40.81% | eta: 13.5m
step 00177 (5.82%) | loss: 4.541254 | dt: 283.75ms | tok/sec: 1,847,732 | bf16_mfu: 41.01% | eta: 13.4m
