W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] 
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] *****************************************
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_145222-3ir5uxqg
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=16
  block_loop_count=3
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 2 steps
Training for 16 epoch(s) (~3048 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.03%) | loss: 10.826538 | dt: 33049.62ms | tok/sec: 15,863 | bf16_mfu: 0.35%
step 00002 (0.07%) | loss: 10.747199 | dt: 971.88ms | tok/sec: 539,459 | bf16_mfu: 11.97%
step 00003 (0.10%) | loss: 10.594832 | dt: 1108.70ms | tok/sec: 472,885 | bf16_mfu: 10.50%
step 00051 (1.67%) | loss: 5.954747 | dt: 693.88ms | tok/sec: 755,590 | bf16_mfu: 16.77% | eta: 37.7m
step 00052 (1.71%) | loss: 5.938343 | dt: 690.89ms | tok/sec: 758,857 | bf16_mfu: 16.84% | eta: 37.6m
step 00053 (1.74%) | loss: 5.939410 | dt: 692.63ms | tok/sec: 756,956 | bf16_mfu: 16.80% | eta: 37.6m
step 00054 (1.77%) | loss: 5.930001 | dt: 691.07ms | tok/sec: 758,659 | bf16_mfu: 16.84% | eta: 37.5m
step 00055 (1.80%) | loss: 5.914658 | dt: 691.22ms | tok/sec: 758,491 | bf16_mfu: 16.84% | eta: 37.4m
step 00056 (1.84%) | loss: 5.907764 | dt: 693.29ms | tok/sec: 756,229 | bf16_mfu: 16.79% | eta: 37.3m
step 00057 (1.87%) | loss: 5.878415 | dt: 693.18ms | tok/sec: 756,351 | bf16_mfu: 16.79% | eta: 37.3m
step 00058 (1.90%) | loss: 5.861159 | dt: 692.57ms | tok/sec: 757,020 | bf16_mfu: 16.80% | eta: 37.2m
step 00059 (1.94%) | loss: 5.841353 | dt: 690.68ms | tok/sec: 759,094 | bf16_mfu: 16.85% | eta: 37.2m
step 00060 (1.97%) | loss: 5.813365 | dt: 695.33ms | tok/sec: 754,014 | bf16_mfu: 16.74% | eta: 37.1m
step 00061 (2.00%) | loss: 5.779425 | dt: 696.70ms | tok/sec: 752,535 | bf16_mfu: 16.70% | eta: 37.0m
step 00062 (2.03%) | loss: 5.753052 | dt: 695.85ms | tok/sec: 753,450 | bf16_mfu: 16.72% | eta: 37.0m
step 00063 (2.07%) | loss: 5.729034 | dt: 692.44ms | tok/sec: 757,164 | bf16_mfu: 16.81% | eta: 36.9m
step 00064 (2.10%) | loss: 5.715805 | dt: 693.43ms | tok/sec: 756,083 | bf16_mfu: 16.78% | eta: 36.9m
step 00065 (2.13%) | loss: 5.689234 | dt: 692.44ms | tok/sec: 757,165 | bf16_mfu: 16.81% | eta: 36.8m
step 00066 (2.17%) | loss: 5.670854 | dt: 692.12ms | tok/sec: 757,510 | bf16_mfu: 16.81% | eta: 36.8m
step 00067 (2.20%) | loss: 5.656418 | dt: 692.59ms | tok/sec: 756,997 | bf16_mfu: 16.80% | eta: 36.7m
step 00068 (2.23%) | loss: 5.648309 | dt: 689.74ms | tok/sec: 760,124 | bf16_mfu: 16.87% | eta: 36.7m
step 00069 (2.26%) | loss: 5.622117 | dt: 690.63ms | tok/sec: 759,140 | bf16_mfu: 16.85% | eta: 36.6m
step 00070 (2.30%) | loss: 5.588841 | dt: 693.38ms | tok/sec: 756,133 | bf16_mfu: 16.78% | eta: 36.6m
step 00071 (2.33%) | loss: 5.566972 | dt: 692.45ms | tok/sec: 757,145 | bf16_mfu: 16.81% | eta: 36.5m
step 00072 (2.36%) | loss: 5.558932 | dt: 695.73ms | tok/sec: 753,583 | bf16_mfu: 16.73% | eta: 36.5m
step 00073 (2.40%) | loss: 5.541000 | dt: 693.24ms | tok/sec: 756,284 | bf16_mfu: 16.79% | eta: 36.5m
step 00074 (2.43%) | loss: 5.506934 | dt: 694.82ms | tok/sec: 754,565 | bf16_mfu: 16.75% | eta: 36.4m
step 00075 (2.46%) | loss: 5.490178 | dt: 691.76ms | tok/sec: 757,907 | bf16_mfu: 16.82% | eta: 36.4m
step 00076 (2.49%) | loss: 5.462596 | dt: 695.01ms | tok/sec: 754,356 | bf16_mfu: 16.74% | eta: 36.3m
step 00077 (2.53%) | loss: 5.439963 | dt: 693.09ms | tok/sec: 756,446 | bf16_mfu: 16.79% | eta: 36.3m
step 00078 (2.56%) | loss: 5.419269 | dt: 698.21ms | tok/sec: 750,906 | bf16_mfu: 16.67% | eta: 36.3m
step 00079 (2.59%) | loss: 5.394404 | dt: 693.08ms | tok/sec: 756,460 | bf16_mfu: 16.79% | eta: 36.2m
step 00080 (2.62%) | loss: 5.386745 | dt: 692.87ms | tok/sec: 756,684 | bf16_mfu: 16.80% | eta: 36.2m
step 00081 (2.66%) | loss: 5.392403 | dt: 698.08ms | tok/sec: 751,045 | bf16_mfu: 16.67% | eta: 36.2m
step 00082 (2.69%) | loss: 5.372679 | dt: 695.74ms | tok/sec: 753,563 | bf16_mfu: 16.73% | eta: 36.1m
step 00083 (2.72%) | loss: 5.359419 | dt: 694.04ms | tok/sec: 755,409 | bf16_mfu: 16.77% | eta: 36.1m
step 00084 (2.76%) | loss: 5.323287 | dt: 692.55ms | tok/sec: 757,041 | bf16_mfu: 16.80% | eta: 36.1m
step 00085 (2.79%) | loss: 5.319584 | dt: 692.32ms | tok/sec: 757,290 | bf16_mfu: 16.81% | eta: 36.0m
step 00086 (2.82%) | loss: 5.299030 | dt: 695.92ms | tok/sec: 753,371 | bf16_mfu: 16.72% | eta: 36.0m
step 00087 (2.85%) | loss: 5.265984 | dt: 696.54ms | tok/sec: 752,700 | bf16_mfu: 16.71% | eta: 36.0m
step 00088 (2.89%) | loss: 5.241146 | dt: 695.15ms | tok/sec: 754,213 | bf16_mfu: 16.74% | eta: 35.9m
step 00089 (2.92%) | loss: 5.213618 | dt: 692.35ms | tok/sec: 757,255 | bf16_mfu: 16.81% | eta: 35.9m
step 00090 (2.95%) | loss: 5.200201 | dt: 693.50ms | tok/sec: 756,004 | bf16_mfu: 16.78% | eta: 35.9m
step 00091 (2.99%) | loss: 5.179794 | dt: 693.57ms | tok/sec: 755,921 | bf16_mfu: 16.78% | eta: 35.8m
step 00092 (3.02%) | loss: 5.162302 | dt: 693.37ms | tok/sec: 756,144 | bf16_mfu: 16.78% | eta: 35.8m
step 00093 (3.05%) | loss: 5.144646 | dt: 693.97ms | tok/sec: 755,491 | bf16_mfu: 16.77% | eta: 35.8m
step 00094 (3.08%) | loss: 5.128661 | dt: 696.05ms | tok/sec: 753,229 | bf16_mfu: 16.72% | eta: 35.7m
step 00095 (3.12%) | loss: 5.120903 | dt: 692.98ms | tok/sec: 756,567 | bf16_mfu: 16.79% | eta: 35.7m
step 00096 (3.15%) | loss: 5.116763 | dt: 695.23ms | tok/sec: 754,123 | bf16_mfu: 16.74% | eta: 35.7m
step 00097 (3.18%) | loss: 5.095770 | dt: 692.75ms | tok/sec: 756,823 | bf16_mfu: 16.80% | eta: 35.7m
step 00098 (3.22%) | loss: 5.086968 | dt: 694.32ms | tok/sec: 755,112 | bf16_mfu: 16.76% | eta: 35.6m
step 00099 (3.25%) | loss: 5.071492 | dt: 693.50ms | tok/sec: 756,008 | bf16_mfu: 16.78% | eta: 35.6m
step 00100 (3.28%) | loss: 5.072707 | dt: 692.51ms | tok/sec: 757,086 | bf16_mfu: 16.81% | eta: 35.6m
step 00101 (3.31%) | loss: 5.076143 | dt: 698.93ms | tok/sec: 750,129 | bf16_mfu: 16.65% | eta: 35.5m
step 00102 (3.35%) | loss: 5.061232 | dt: 690.25ms | tok/sec: 759,567 | bf16_mfu: 16.86% | eta: 35.5m
step 00103 (3.38%) | loss: 5.063230 | dt: 691.99ms | tok/sec: 757,652 | bf16_mfu: 16.82% | eta: 35.5m
step 00104 (3.41%) | loss: 5.043953 | dt: 698.10ms | tok/sec: 751,016 | bf16_mfu: 16.67% | eta: 35.5m
step 00105 (3.44%) | loss: 5.032598 | dt: 693.95ms | tok/sec: 755,513 | bf16_mfu: 16.77% | eta: 35.4m
step 00106 (3.48%) | loss: 5.030083 | dt: 694.89ms | tok/sec: 754,486 | bf16_mfu: 16.75% | eta: 35.4m
step 00107 (3.51%) | loss: 5.022638 | dt: 692.56ms | tok/sec: 757,033 | bf16_mfu: 16.80% | eta: 35.4m
step 00108 (3.54%) | loss: 5.018115 | dt: 692.90ms | tok/sec: 756,661 | bf16_mfu: 16.80% | eta: 35.4m
step 00109 (3.58%) | loss: 5.021518 | dt: 697.59ms | tok/sec: 751,565 | bf16_mfu: 16.68% | eta: 35.3m
step 00110 (3.61%) | loss: 5.010511 | dt: 692.74ms | tok/sec: 756,828 | bf16_mfu: 16.80% | eta: 35.3m
step 00111 (3.64%) | loss: 5.000226 | dt: 694.38ms | tok/sec: 755,039 | bf16_mfu: 16.76% | eta: 35.3m
step 00112 (3.67%) | loss: 5.017373 | dt: 696.19ms | tok/sec: 753,078 | bf16_mfu: 16.72% | eta: 35.3m
step 00113 (3.71%) | loss: 5.012844 | dt: 691.35ms | tok/sec: 758,353 | bf16_mfu: 16.83% | eta: 35.2m
step 00114 (3.74%) | loss: 5.011024 | dt: 695.23ms | tok/sec: 754,119 | bf16_mfu: 16.74% | eta: 35.2m
step 00115 (3.77%) | loss: 5.003197 | dt: 692.67ms | tok/sec: 756,904 | bf16_mfu: 16.80% | eta: 35.2m
step 00116 (3.81%) | loss: 4.982749 | dt: 697.19ms | tok/sec: 751,999 | bf16_mfu: 16.69% | eta: 35.2m
step 00117 (3.84%) | loss: 4.951849 | dt: 694.74ms | tok/sec: 754,648 | bf16_mfu: 16.75% | eta: 35.1m
step 00118 (3.87%) | loss: 4.935861 | dt: 695.88ms | tok/sec: 753,419 | bf16_mfu: 16.72% | eta: 35.1m
step 00119 (3.90%) | loss: 4.923891 | dt: 693.62ms | tok/sec: 755,870 | bf16_mfu: 16.78% | eta: 35.1m
step 00120 (3.94%) | loss: 4.918519 | dt: 695.99ms | tok/sec: 753,296 | bf16_mfu: 16.72% | eta: 35.1m
step 00121 (3.97%) | loss: 4.890002 | dt: 696.33ms | tok/sec: 752,929 | bf16_mfu: 16.71% | eta: 35.1m
step 00122 (4.00%) | loss: 4.886141 | dt: 694.63ms | tok/sec: 754,769 | bf16_mfu: 16.75% | eta: 35.0m
step 00123 (4.04%) | loss: 4.879723 | dt: 699.95ms | tok/sec: 749,034 | bf16_mfu: 16.63% | eta: 35.0m
step 00124 (4.07%) | loss: 4.868572 | dt: 697.39ms | tok/sec: 751,784 | bf16_mfu: 16.69% | eta: 35.0m
step 00125 (4.10%) | loss: 4.849449 | dt: 697.40ms | tok/sec: 751,779 | bf16_mfu: 16.69% | eta: 35.0m
step 00126 (4.13%) | loss: 4.847043 | dt: 691.57ms | tok/sec: 758,116 | bf16_mfu: 16.83% | eta: 35.0m
step 00127 (4.17%) | loss: 4.830644 | dt: 695.85ms | tok/sec: 753,448 | bf16_mfu: 16.72% | eta: 34.9m
step 00128 (4.20%) | loss: 4.832457 | dt: 695.44ms | tok/sec: 753,896 | bf16_mfu: 16.73% | eta: 34.9m
step 00129 (4.23%) | loss: 4.815967 | dt: 696.15ms | tok/sec: 753,127 | bf16_mfu: 16.72% | eta: 34.9m
step 00130 (4.27%) | loss: 4.803395 | dt: 694.32ms | tok/sec: 755,111 | bf16_mfu: 16.76% | eta: 34.9m
step 00131 (4.30%) | loss: 4.795260 | dt: 698.01ms | tok/sec: 751,112 | bf16_mfu: 16.67% | eta: 34.9m
step 00132 (4.33%) | loss: 4.788478 | dt: 694.40ms | tok/sec: 755,022 | bf16_mfu: 16.76% | eta: 34.8m
step 00133 (4.36%) | loss: 4.791221 | dt: 696.75ms | tok/sec: 752,480 | bf16_mfu: 16.70% | eta: 34.8m
step 00134 (4.40%) | loss: 4.785197 | dt: 695.36ms | tok/sec: 753,976 | bf16_mfu: 16.74% | eta: 34.8m
step 00135 (4.43%) | loss: 4.777415 | dt: 693.54ms | tok/sec: 755,964 | bf16_mfu: 16.78% | eta: 34.8m
step 00136 (4.46%) | loss: 4.767056 | dt: 693.74ms | tok/sec: 755,741 | bf16_mfu: 16.78% | eta: 34.8m
step 00137 (4.49%) | loss: 4.751876 | dt: 695.88ms | tok/sec: 753,413 | bf16_mfu: 16.72% | eta: 34.7m
step 00138 (4.53%) | loss: 4.746974 | dt: 695.54ms | tok/sec: 753,783 | bf16_mfu: 16.73% | eta: 34.7m
step 00139 (4.56%) | loss: 4.739680 | dt: 697.73ms | tok/sec: 751,417 | bf16_mfu: 16.68% | eta: 34.7m
step 00140 (4.59%) | loss: 4.746211 | dt: 697.15ms | tok/sec: 752,048 | bf16_mfu: 16.69% | eta: 34.7m
step 00141 (4.63%) | loss: 4.747036 | dt: 695.26ms | tok/sec: 754,094 | bf16_mfu: 16.74% | eta: 34.7m
step 00142 (4.66%) | loss: 4.749354 | dt: 693.70ms | tok/sec: 755,781 | bf16_mfu: 16.78% | eta: 34.6m
step 00143 (4.69%) | loss: 4.741650 | dt: 697.07ms | tok/sec: 752,132 | bf16_mfu: 16.70% | eta: 34.6m
step 00144 (4.72%) | loss: 4.739086 | dt: 701.40ms | tok/sec: 747,488 | bf16_mfu: 16.59% | eta: 34.6m
step 00145 (4.76%) | loss: 4.738600 | dt: 696.24ms | tok/sec: 753,030 | bf16_mfu: 16.72% | eta: 34.6m
step 00146 (4.79%) | loss: 4.752539 | dt: 694.55ms | tok/sec: 754,864 | bf16_mfu: 16.76% | eta: 34.6m
step 00147 (4.82%) | loss: 4.747289 | dt: 699.43ms | tok/sec: 749,592 | bf16_mfu: 16.64% | eta: 34.6m
step 00148 (4.86%) | loss: 4.728079 | dt: 692.56ms | tok/sec: 757,024 | bf16_mfu: 16.80% | eta: 34.5m
step 00149 (4.89%) | loss: 4.728592 | dt: 697.26ms | tok/sec: 751,921 | bf16_mfu: 16.69% | eta: 34.5m
step 00150 (4.92%) | loss: 4.714990 | dt: 695.95ms | tok/sec: 753,339 | bf16_mfu: 16.72% | eta: 34.5m
step 00151 (4.95%) | loss: 4.715050 | dt: 698.98ms | tok/sec: 750,075 | bf16_mfu: 16.65% | eta: 34.5m
step 00152 (4.99%) | loss: 4.711819 | dt: 695.11ms | tok/sec: 754,246 | bf16_mfu: 16.74% | eta: 34.5m
step 00153 (5.02%) | loss: 4.707791 | dt: 698.40ms | tok/sec: 750,700 | bf16_mfu: 16.66% | eta: 34.4m
step 00154 (5.05%) | loss: 4.691136 | dt: 694.50ms | tok/sec: 754,916 | bf16_mfu: 16.76% | eta: 34.4m
step 00155 (5.09%) | loss: 4.688019 | dt: 690.40ms | tok/sec: 759,398 | bf16_mfu: 16.86% | eta: 34.4m
step 00156 (5.12%) | loss: 4.671645 | dt: 697.32ms | tok/sec: 751,862 | bf16_mfu: 16.69% | eta: 34.4m
step 00157 (5.15%) | loss: 4.660293 | dt: 696.01ms | tok/sec: 753,272 | bf16_mfu: 16.72% | eta: 34.4m
step 00158 (5.18%) | loss: 4.650923 | dt: 697.70ms | tok/sec: 751,454 | bf16_mfu: 16.68% | eta: 34.4m
step 00159 (5.22%) | loss: 4.628014 | dt: 693.06ms | tok/sec: 756,488 | bf16_mfu: 16.79% | eta: 34.3m
step 00160 (5.25%) | loss: 4.645335 | dt: 694.01ms | tok/sec: 755,450 | bf16_mfu: 16.77% | eta: 34.3m
step 00161 (5.28%) | loss: 4.641505 | dt: 698.89ms | tok/sec: 750,172 | bf16_mfu: 16.65% | eta: 34.3m
step 00162 (5.31%) | loss: 4.637874 | dt: 697.73ms | tok/sec: 751,422 | bf16_mfu: 16.68% | eta: 34.3m
step 00163 (5.35%) | loss: 4.623461 | dt: 696.16ms | tok/sec: 753,113 | bf16_mfu: 16.72% | eta: 34.3m
step 00164 (5.38%) | loss: 4.615270 | dt: 694.36ms | tok/sec: 755,064 | bf16_mfu: 16.76% | eta: 34.3m
step 00165 (5.41%) | loss: 4.617830 | dt: 694.38ms | tok/sec: 755,048 | bf16_mfu: 16.76% | eta: 34.2m
step 00166 (5.45%) | loss: 4.618618 | dt: 696.52ms | tok/sec: 752,725 | bf16_mfu: 16.71% | eta: 34.2m
step 00167 (5.48%) | loss: 4.619499 | dt: 695.75ms | tok/sec: 753,556 | bf16_mfu: 16.73% | eta: 34.2m
step 00168 (5.51%) | loss: 4.615487 | dt: 697.53ms | tok/sec: 751,637 | bf16_mfu: 16.68% | eta: 34.2m
step 00169 (5.54%) | loss: 4.608404 | dt: 699.22ms | tok/sec: 749,822 | bf16_mfu: 16.64% | eta: 34.2m
step 00170 (5.58%) | loss: 4.603147 | dt: 693.01ms | tok/sec: 756,542 | bf16_mfu: 16.79% | eta: 34.2m
step 00171 (5.61%) | loss: 4.599453 | dt: 699.35ms | tok/sec: 749,678 | bf16_mfu: 16.64% | eta: 34.1m
step 00172 (5.64%) | loss: 4.585157 | dt: 694.49ms | tok/sec: 754,927 | bf16_mfu: 16.76% | eta: 34.1m
step 00173 (5.68%) | loss: 4.579037 | dt: 692.80ms | tok/sec: 756,771 | bf16_mfu: 16.80% | eta: 34.1m
step 00174 (5.71%) | loss: 4.576194 | dt: 695.77ms | tok/sec: 753,539 | bf16_mfu: 16.73% | eta: 34.1m
step 00175 (5.74%) | loss: 4.561073 | dt: 695.09ms | tok/sec: 754,272 | bf16_mfu: 16.74% | eta: 34.1m
step 00176 (5.77%) | loss: 4.555685 | dt: 698.84ms | tok/sec: 750,229 | bf16_mfu: 16.65% | eta: 34.1m
step 00177 (5.81%) | loss: 4.546105 | dt: 695.77ms | tok/sec: 753,540 | bf16_mfu: 16.73% | eta: 34.0m
step 00178 (5.84%) | loss: 4.541745 | dt: 693.46ms | tok/sec: 756,050 | bf16_mfu: 16.78% | eta: 34.0m
step 00179 (5.87%) | loss: 4.551593 | dt: 697.91ms | tok/sec: 751,226 | bf16_mfu: 16.68% | eta: 34.0m
step 00180 (5.91%) | loss: 4.530911 | dt: 697.57ms | tok/sec: 751,597 | bf16_mfu: 16.68% | eta: 34.0m
step 00181 (5.94%) | loss: 4.532175 | dt: 700.37ms | tok/sec: 748,586 | bf16_mfu: 16.62% | eta: 34.0m
step 00182 (5.97%) | loss: 4.530813 | dt: 698.13ms | tok/sec: 750,991 | bf16_mfu: 16.67% | eta: 34.0m
step 00183 (6.00%) | loss: 4.534376 | dt: 696.78ms | tok/sec: 752,447 | bf16_mfu: 16.70% | eta: 33.9m
